guid,name,version,rarity,niche,trade_price,targets,buffs,boost_condition,boost_buffs,source
64951,Optimate,base,Common,Civic,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Prestige: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Hilaria, Festival of Joy (6.863%); Festival: Ovatio, Festival of Prestigious Rule (24.020%); Festival: Spectacula, Festival of the Games (24.020%); Festival: Quinquatria, Festival of Minerva (3.431%); Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
64952,Quencher,base,Common,Military,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Fire Safety: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Stata Mater Festival (0.763%); Festival: Triumph, Festival of Conquest (2.669%); Festival: Armilustrium, Festival of Mars (2.669%); Festival: Neptunalia Festival (0.381%); Festival: Eponalia Festival (0.381%); Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
64953,Physician,base,Common,Nature,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Health: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Hygieia Festival (6.005%); Festival: Festival of Household Gods (1.716%); Festival: Cerealia, Festival of Ceres (6.005%); Festival: Cernunnalia Festival (0.858%); Festival: Vulcanalia (6.005%); Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
64954,Dramatist,base,Common,Culture,2750,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Happiness: +0.6,,,"Selling: Diana (1.055%); Selling: Julia Augusta (1.055%); Selling: Valeria (1.055%); Selling: Procurator Corvinus (1.074%); Selling: Manx (1.074%); Selling: Caeso Regulus Syracus (0.909%); Selling: Voada Of The Scathach (0.926%); Contracts: Diana (0.348%); Contracts: Julia Augusta (0.348%); Contracts: Valeria (0.348%); Contracts: Procurator Corvinus (0.354%); Contracts: Manx (0.354%); Contracts: Caeso Regulus Syracus (0.348%); Contracts: Voada Of The Scathach (0.354%); Contracts: Caecilia (0.348%); Festival: Hilaria, Festival of Joy (8.007%); Festival: Hygieia Festival (1.144%); Festival: Litterria, Festival of Learning (1.144%); Festival: Lugnasad, Festival of Mercury-Lugus (1.144%); Festival: Cernunnalia Festival (8.007%); Flotsam: Diana (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Valeria (0.137%); Flotsam: Procurator Corvinus (0.140%); Flotsam: Manx (0.140%); Flotsam: Caeso Regulus Syracus (0.219%); Flotsam: Voada Of The Scathach (0.223%); Flotsam: Gnaeus Firmius Calidus (0.137%); Flotsam: Julia Augusta (0.137%); Flotsam: Caecilia (0.137%)"
140338,Cursory Bursarius,base,Rare,Finance,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Income: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Hilaria, Festival of Joy (1.078%); Festival: Ovatio, Festival of Prestigious Rule (1.078%); Festival: Triumph, Festival of Conquest (2.157%); Festival: Spectacula, Festival of the Games (2.157%); Festival: Lugnasad, Festival of Mercury-Lugus (7.549%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
140344,Inflammatory Flamincia,base,Rare,Religion,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Belief: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Festival of Household Gods (18.873%); Festival: Armilustrium, Festival of Mars (5.392%); Festival: Cerealia, Festival of Ceres (5.392%); Festival: Neptunalia Festival (5.392%); Festival: Lugnasad, Festival of Mercury-Lugus (5.392%); Festival: Eponalia Festival (5.392%); Festival: Cernunnalia Festival (5.392%); Festival: Quinquatria, Festival of Minerva (5.392%); Festival: Vulcanalia (2.696%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
140355,Whataboutist Watis,base,Rare,Research,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Knowledge: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Hygieia Festival (2.696%); Festival: Litterria, Festival of Learning (9.436%); Festival: Cerealia, Festival of Ceres (1.348%); Festival: Quinquatria, Festival of Minerva (9.436%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
140388,Ascendant Endorser,base,Rare,Civic,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Prestige: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Hilaria, Festival of Joy (5.392%); Festival: Ovatio, Festival of Prestigious Rule (18.873%); Festival: Spectacula, Festival of the Games (18.873%); Festival: Quinquatria, Festival of Minerva (2.696%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
140403,Roasted Roustabout,base,Rare,Military,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Fire Safety: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Stata Mater Festival (0.568%); Festival: Triumph, Festival of Conquest (1.987%); Festival: Armilustrium, Festival of Mars (1.987%); Festival: Neptunalia Festival (0.284%); Festival: Eponalia Festival (0.284%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
140405,Pharmacognostic,base,Rare,Nature,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Health: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Hygieia Festival (7.549%); Festival: Festival of Household Gods (2.157%); Festival: Cerealia, Festival of Ceres (7.549%); Festival: Cernunnalia Festival (1.078%); Festival: Vulcanalia (7.549%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
140407,Iron-Grade Ironist,base,Rare,Culture,16500,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Happiness: +1.2,,,"Selling: Diana (0.472%); Selling: Julia Augusta (0.472%); Selling: Valeria (0.466%); Selling: Procurator Corvinus (0.425%); Selling: Manx (0.436%); Selling: Caeso Regulus Syracus (0.563%); Selling: Voada Of The Scathach (0.513%); Contracts: Diana (0.961%); Contracts: Julia Augusta (0.961%); Contracts: Valeria (0.948%); Contracts: Procurator Corvinus (0.865%); Contracts: Manx (0.876%); Contracts: Caeso Regulus Syracus (0.975%); Contracts: Voada Of The Scathach (0.887%); Contracts: Caecilia (0.948%); Festival: Hilaria, Festival of Joy (12.582%); Festival: Hygieia Festival (1.797%); Festival: Litterria, Festival of Learning (1.797%); Festival: Lugnasad, Festival of Mercury-Lugus (1.797%); Festival: Cernunnalia Festival (12.582%); Flotsam: Diana (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Valeria (0.026%); Flotsam: Procurator Corvinus (0.024%); Flotsam: Manx (0.024%); Flotsam: Caeso Regulus Syracus (0.136%); Flotsam: Voada Of The Scathach (0.124%); Flotsam: Gnaeus Firmius Calidus (0.026%); Flotsam: Julia Augusta (0.026%); Flotsam: Caecilia (0.026%)"
64945,"Aulus Pecunius Magnus, Patrician Profiteer",base,Epic,Finance,110000,"Residences: Libertus Residence, Plebeian Residence, Eques Residence, Patrician Residence, Wader Residence, Smith Residence, Alderman Residence, Mercator Residence, Noble Residence",Income: +1.8,,,"Selling: Diana (0.099%); Selling: Julia Augusta (0.099%); Selling: Valeria (0.099%); Selling: Procurator Corvinus (0.111%); Selling: Manx (0.113%); Selling: Caeso Regulus Syracus (0.129%); Selling: Voada Of The Scathach (0.145%); Contracts: Diana (0.095%); Contracts: Julia Augusta (0.095%); Contracts: Valeria (0.095%); Contracts: Procurator Corvinus (0.107%); Contracts: Manx (0.107%); Contracts: Caeso Regulus Syracus (0.096%); Contracts: Voada Of The Scathach (0.109%); Contracts: Caecilia (0.095%); Festival: Hilaria, Festival of Joy (0.196%); Festival: Ovatio, Festival of Prestigious Rule (0.196%); Festival: Triumph, Festival of Conquest (0.392%); Festival: Spectacula, Festival of the Games (0.392%); Festival: Lugnasad, Festival of Mercury-Lugus (1.373%); Flotsam: Diana (0.000%); Flotsam: Julia Augusta (0.000%); Flotsam: Valeria (0.000%); Flotsam: Procurator Corvinus (0.000%); Flotsam: Manx (0.000%); Flotsam: Caeso Regulus Syracus (0.031%); Flotsam: Voada Of The Scathach (0.035%); Flotsam: Gnaeus Firmius Calidus (0.000%); Flotsam: Julia Augusta (0.000%); Flotsam: Caecilia (0.000%)"
