GUID,Icon,Name,InfoDescription,Buff,Buff Effects,BoostBuff,BoostBuff Effects,Boost Hint,Boost Condition,Targets,Source,Allocation,Rarity,Niche,Price,IsMetaItem,Origin,ObsidianPrice
50890,data/ui/fhd/base/icon_content/items_specialist/roman_male/icon_3d_roman_male_61.png,-6902985157811400752,-6904039302831345370,50891,ProductivityUpgrade: +35% | FuelDurationPercent: +35% | -6916464905928465879 FireSafety: +1,108960,ProductivityUpgrade: +45% | FuelDurationPercent: +50% | -6916464905928465879 FireSafety: +1.5,-6914777493126819511,ConditionReligion: 80562,50609:5470;31755;5472;5969;3070;3074|50614:5954;3170;13808;55945,Quest: -6915760015674043469,Villa,Legendary,Economy,500000,,,2976
96817,data/ui/fhd/base/icon_content/items_specialist/roman_male/icon_3d_roman_male_69.png,-6908321270728531249,-6916029199934952732,96818,ProductivityUpgrade: +25% | -6916464905928465879 Happiness: +1,,,,,50610:31767;6586;3186;5960;3174;5959;3171;5604,Quest: -6915760015674043469,Villa,Epic,Culture,100000,,,595
88062,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_001_barley_shaker.png,-6915392936268765265,-6916406350936268862,88063,AdditionalOutput: 1/3 | WorkforceMaintenanceFactorUpgrade: -20%,,,,,2799,Quest: 88022,Villa,Rare,Agriculture,15000,,,89
93989,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_campaign_001_bard.png,-6912840895005903218,-6907911827483673962,93991,ChangeNeedAttributesOf 55956: Happiness +2 | ChangeNeedAttributesOf 55956: Knowledge +1,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,Quest: 93750,Villa,Epic,Culture,100000,,,595
94541,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_narrative_001_finnegan.png,-6909790742160365152,-6916608725100922775,94542,BaseHealthUpgrade: +100% | HealRadiusUpgrade: +50% | HealPerMinuteUpgrade: +50% | HealBuildingsPerMinuteUpgrade: +50% | MaximumRepairTargetsUpgrade: +1,94544,BaseHealthUpgrade: +150% | HealRadiusUpgrade: +65% | HealPerMinuteUpgrade: +65% | HealBuildingsPerMinuteUpgrade: +65% | MaximumRepairTargetsUpgrade: +1,-6901365087136176422,ConditionPlayerCounter: AtLeast 25 | 26600 | Area,41582:38383;41581,Quest: 94482,Villa,Legendary,Military,500000,,,2976
94555,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_narrative_005_scipio_thrasea.png,-6901557544881236075,-6915942750838812109,94556,BaseHealthUpgrade: +50% | OffenseArcherModuleRangedUpgrade: +3 | AttackSpeedArcherModulePercentualUpgrade: +30% | AttackSpeedTorchPercentualUpgrade: +30%,94558,BaseHealthUpgrade: +60% | OffenseArcherModuleRangedUpgrade: +4 | AttackSpeedArcherModulePercentualUpgrade: +40% | AttackSpeedTorchPercentualUpgrade: +40%,-6903525386339720177,ConditionPlayerCounter: AtLeast 10 | 37202,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,Quest: 94482,Ship,Legendary,Military,500000,,,2976
90573,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_campaign_003_shipwreck_diver.png,-6900748200520273133,-6912247408505365300,90574,ChangeNeedAttributesOf 2685: Belief +1 | ChangeNeedAttributesOf 2685: Knowledge +2,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,,Villa,Epic,Research,100000,,,595
109532,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_narrative_003_brother_of_heracles.png,-6914014465461658463,-6902702267809228040,125557,ChangeNeedAttributesOf 2683: Happiness +1 | ChangeNeedAttributesOf 2683: Health +1,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,Quest: 109437,Villa,Rare,Agriculture,15000,,,89
82419,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_003_cabin_cleaner.png,-6903089344311828389,-6909865852652834119,107608,-6916464905928465879 Prestige: +0.5,,,,,71278:71266;71269,Quest: 42017,Villa,Rare,Diplomacy,15000,,,89
82777,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_narrative_002_mad_cook.png,-6906531522634968054,-6908732500559160755,82778,ChangeNeedAttributesOf 2677: Happiness +1 | ChangeNeedAttributesOf 2677: Health +1 | ChangeNeedAttributesOf 2677: Knowledge +1,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,Quest: 82721,Villa,Epic,Culture,100000,,,595
83553,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_002_philanthropic_patron.png,-6912976058007016219,-6906193485791165245,83554,ActiveTradePriceInPercent: -10% | BuffReduceCargoImpactUpgrade: -30%,,,,,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,Quest: 82850,Ship,Rare,Finance,15000,,,89
121725,data/ui/fhd/base/icon_content/items_specialist/other_male/icon_3d_other_male_034.png,-6908820497322134602,-6915107169351508446,121726,MaintenanceFactorUpgrade: -25% | ActiveTradePriceInPercent: -10% | BuffTransferSpeedUpgrade: +30%,,,,,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,Quest: 108913,Ship,Epic,Finance,100000,,,595
121727,data/ui/fhd/base/icon_content/items_specialist/other_male/icon_3d_other_male_033.png,-6915122342799217799,-6901626261644489554,121728,ActiveTradePriceInPercent: -5% | BuffReduceCargoImpactUpgrade: -25% | BuffReduceDamageImpactUpgrade: -25%,,,,,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,Quest: 108913,Ship,Rare,Nautics,15000,,,89
106846,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_specialist_dog_01.png,-6914670351829746176,-6909699842578118050,106847,ProductivityUpgrade: +35% | AdditionalOutput: 1/10 | WorkforceMaintenanceFactorUpgrade: -50%,,,,,50293:2786;5973,,Villa,Epic,Economy,120000,,,714
106844,data/ui/fhd/base/icon_content/items_specialist/unique/icon_3d_unique_specialist_cat_01.png,-6910226755026540097,-6901158322115525505,106845,MaintenanceFactorUpgrade: -50% | BuffBaseSpeedUpgrade: +15% | BuffTransferSpeedUpgrade: +35%,,,,,38995:37224;37222;37223;5473;43094;44483;52121;39570;39572;39573;90561;39571;52122;90562,,Ship,Epic,Finance,120000,,,714
64944,data/ui/fhd/base/icon_content/items_specialist/celtic_female/icon_3d_celtic_female_008.png,-6907094087430622389,-6903873349011324809,64946,Money: +0.6,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,122533 [0.858%] | 122538 [0.858%] | 122539 [1.716%] | 122540 [1.716%] | 122544 [6.005%] | 145046 [0.145%] | 145047 [0.328%] | 145049 [0.014%] | 43017 [0.909%] | 43018 [1.055%] | 43019 [1.055%] | 43020 [1.074%] | 43021 [1.074%] | 43022 [0.926%] | 64766 [0.145%] | 64767 [0.328%] | 64769 [0.195%] | 64770 [0.439%] | 64772 [0.195%] | 64773 [0.439%] | 64775 [0.148%] | 64776 [0.334%] | 64778 [0.195%] | 64779 [0.439%] | 64781 [0.195%] | 64782 [0.439%] | 64784 [0.195%] | 64785 [0.439%] | 64787 [0.145%] | 64788 [0.328%] | 64790 [0.145%] | 64791 [0.328%] | 64793 [0.145%] | 64794 [0.328%] | 64796 [0.148%] | 64797 [0.334%] | 64799 [0.148%] | 64800 [0.334%] | 64802 [0.148%] | 64803 [0.334%] | 95375 [0.141%] | 95439 [0.014%] | 95440 [0.018%] | 95441 [0.018%] | 95442 [0.014%] | 95443 [0.018%] | 95444 [0.018%] | 95445 [0.018%] | 95446 [0.014%] | 95447 [0.014%] | 95448 [0.014%] | 95449 [0.014%] | 95450 [0.144%] | 95452 [0.014%] | 95453 [0.014%] | Quest: 94297,Villa,Common,Finance,2750,,,16
64949,data/ui/fhd/base/icon_content/items_specialist/celtic_male/icon_3d_celtic_male_004.png,-6908377224588921816,-6917489323902159900,64955,Belief: +0.6,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,122536 [12.010%] | 122541 [3.431%] | 122542 [3.431%] | 122543 [3.431%] | 122544 [3.431%] | 122545 [3.431%] | 122546 [3.431%] | 122547 [3.431%] | 145046 [0.145%] | 145047 [0.328%] | 145049 [0.014%] | 145050 [1.716%] | 43017 [0.909%] | 43018 [1.055%] | 43019 [1.055%] | 43020 [1.074%] | 43021 [1.074%] | 43022 [0.926%] | 64766 [0.145%] | 64767 [0.328%] | 64769 [0.195%] | 64770 [0.439%] | 64772 [0.195%] | 64773 [0.439%] | 64775 [0.148%] | 64776 [0.334%] | 64778 [0.195%] | 64779 [0.439%] | 64781 [0.195%] | 64782 [0.439%] | 64784 [0.195%] | 64785 [0.439%] | 64787 [0.145%] | 64788 [0.328%] | 64790 [0.145%] | 64791 [0.328%] | 64793 [0.145%] | 64794 [0.328%] | 64796 [0.148%] | 64797 [0.334%] | 64799 [0.148%] | 64800 [0.334%] | 64802 [0.148%] | 64803 [0.334%] | 95375 [0.141%] | 95439 [0.014%] | 95440 [0.018%] | 95441 [0.018%] | 95442 [0.014%] | 95443 [0.018%] | 95444 [0.018%] | 95445 [0.018%] | 95446 [0.014%] | 95447 [0.014%] | 95448 [0.014%] | 95449 [0.014%] | 95450 [0.144%] | 95452 [0.014%] | 95453 [0.014%] | Quest: 116944,Villa,Common,Religion,2750,,,16
64950,data/ui/fhd/base/icon_content/items_specialist/celtic_female/icon_3d_celtic_female_003.png,-6906161554818266449,-6899750956331370985,64956,Knowledge: +0.6,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,122534 [1.716%] | 122537 [6.005%] | 122542 [0.858%] | 122547 [6.005%] | 145046 [0.145%] | 145047 [0.328%] | 145049 [0.014%] | 43017 [0.909%] | 43018 [1.055%] | 43019 [1.055%] | 43020 [1.074%] | 43021 [1.074%] | 43022 [0.926%] | 64766 [0.145%] | 64767 [0.328%] | 64769 [0.195%] | 64770 [0.439%] | 64772 [0.195%] | 64773 [0.439%] | 64775 [0.148%] | 64776 [0.334%] | 64778 [0.195%] | 64779 [0.439%] | 64781 [0.195%] | 64782 [0.439%] | 64784 [0.195%] | 64785 [0.439%] | 64787 [0.145%] | 64788 [0.328%] | 64790 [0.145%] | 64791 [0.328%] | 64793 [0.145%] | 64794 [0.328%] | 64796 [0.148%] | 64797 [0.334%] | 64799 [0.148%] | 64800 [0.334%] | 64802 [0.148%] | 64803 [0.334%] | 95375 [0.141%] | 95439 [0.014%] | 95440 [0.018%] | 95441 [0.018%] | 95442 [0.014%] | 95443 [0.018%] | 95444 [0.018%] | 95445 [0.018%] | 95446 [0.014%] | 95447 [0.014%] | 95448 [0.014%] | 95449 [0.014%] | 95450 [0.144%] | 95452 [0.014%] | 95453 [0.014%],Villa,Common,Research,2750,,,16
64951,data/ui/fhd/base/icon_content/items_specialist/roman_female/icon_3d_roman_female_001.png,-6914687974914413715,-6914628903530370292,64957,Prestige: +0.6,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,122533 [6.863%] | 122538 [24.020%] | 122540 [24.020%] | 122547 [3.431%] | 145046 [0.145%] | 145047 [0.328%] | 145049 [0.014%] | 43017 [0.909%] | 43018 [1.055%] | 43019 [1.055%] | 43020 [1.074%] | 43021 [1.074%] | 43022 [0.926%] | 64766 [0.145%] | 64767 [0.328%] | 64769 [0.195%] | 64770 [0.439%] | 64772 [0.195%] | 64773 [0.439%] | 64775 [0.148%] | 64776 [0.334%] | 64778 [0.195%] | 64779 [0.439%] | 64781 [0.195%] | 64782 [0.439%] | 64784 [0.195%] | 64785 [0.439%] | 64787 [0.145%] | 64788 [0.328%] | 64790 [0.145%] | 64791 [0.328%] | 64793 [0.145%] | 64794 [0.328%] | 64796 [0.148%] | 64797 [0.334%] | 64799 [0.148%] | 64800 [0.334%] | 64802 [0.148%] | 64803 [0.334%] | 95375 [0.141%] | 95439 [0.014%] | 95440 [0.018%] | 95441 [0.018%] | 95442 [0.014%] | 95443 [0.018%] | 95444 [0.018%] | 95445 [0.018%] | 95446 [0.014%] | 95447 [0.014%] | 95448 [0.014%] | 95449 [0.014%] | 95450 [0.144%] | 95452 [0.014%] | 95453 [0.014%],Villa,Common,Diplomacy,2750,,,16
64952,data/ui/fhd/base/icon_content/items_specialist/other_female/icon_3d_other_female_005.png,-6904174461016842613,-6914061488569972028,64958,FireSafety: +0.6,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,122535 [0.763%] | 122539 [2.669%] | 122541 [2.669%] | 122543 [0.381%] | 122545 [0.381%] | 145046 [0.145%] | 145047 [0.328%] | 145049 [0.014%] | 43017 [0.909%] | 43018 [1.055%] | 43019 [1.055%] | 43020 [1.074%] | 43021 [1.074%] | 43022 [0.926%] | 64766 [0.145%] | 64767 [0.328%] | 64769 [0.195%] | 64770 [0.439%] | 64772 [0.195%] | 64773 [0.439%] | 64775 [0.148%] | 64776 [0.334%] | 64778 [0.195%] | 64779 [0.439%] | 64781 [0.195%] | 64782 [0.439%] | 64784 [0.195%] | 64785 [0.439%] | 64787 [0.145%] | 64788 [0.328%] | 64790 [0.145%] | 64791 [0.328%] | 64793 [0.145%] | 64794 [0.328%] | 64796 [0.148%] | 64797 [0.334%] | 64799 [0.148%] | 64800 [0.334%] | 64802 [0.148%] | 64803 [0.334%] | 95375 [0.141%] | 95439 [0.014%] | 95440 [0.018%] | 95441 [0.018%] | 95442 [0.014%] | 95443 [0.018%] | 95444 [0.018%] | 95445 [0.018%] | 95446 [0.014%] | 95447 [0.014%] | 95448 [0.014%] | 95449 [0.014%] | 95450 [0.144%] | 95452 [0.014%] | 95453 [0.014%],Villa,Common,Military,2750,,,16
64953,data/ui/fhd/base/icon_content/items_specialist/celtic_female/icon_3d_celtic_female_005.png,-6906406519123238653,-6908233523084548558,64959,Health: +0.6,,,,,31046:3087;3141;3142;3145;6414;6471;6472;6475;6514,122534 [6.005%] | 122536 [1.716%] | 122542 [6.005%] | 122546 [0.858%] | 145046 [0.145%] | 145047 [0.328%] | 145049 [0.014%] | 145050 [6.005%] | 43017 [0.909%] | 43018 [1.055%] | 43019 [1.055%] | 43020 [1.074%] | 43021 [1.074%] | 43022 [0.926%] | 64766 [0.145%] | 64767 [0.328%] | 64769 [0.195%] | 64770 [0.439%] | 64772 [0.195%] | 64773 [0.439%] | 64775 [0.148%] | 64776 [0.334%] | 64778 [0.195%] | 64779 [0.439%] | 64781 [0.195%] | 64782 [0.439%] | 64784 [0.195%] | 64785 [0.439%] | 64787 [0.145%] | 64788 [0.328%] | 64790 [0.145%] | 64791 [0.328%] | 64793 [0.145%] | 64794 [0.328%] | 64796 [0.148%] | 64797 [0.334%] | 64799 [0.148%] | 64800 [0.334%] | 64802 [0.148%] | 64803 [0.334%] | 95375 [0.141%] | 95439 [0.014%] | 95440 [0.018%] | 95441 [0.018%] | 95442 [0.014%] | 95443 [0.018%] | 95444 [0.018%] | 95445 [0.018%] | 95446 [0.014%] | 95447 [0.014%] | 95448 [0.014%] | 95449 [0.014%] | 95450 [0.144%] | 95452 [0.014%] | 95453 [0.014%],Villa,Common,Agriculture,2750,,,16
